Id,Idade,Sexo,UsaRedesSociais,DificuldadeConcentração,ComparaçãoSucesso,MudancaInteresse,ProblemasSono,TentativaReduçãoCelular,Aposentada_recentemente,Bolsista,Dedicação_exclusiva_à_família,Doutorado,Empreendedor,Empregado_com_carteira_assinada,Estagiário,Estudante,Freelancer,Graduação,Mestrado,Professor_PSS,Pós-graduação,Voluntário,Facebook,Instagram,Snapchat,TikTok,Twitter,WhatsApp,YouTube,Contas_de_celebridades_e_influenciadores,Contas_de_esportes,"Contas_de_hobbies_e_interesses_específicos_(música,_culinária,_viagens,_etc.)",Contas_de_humor_e_memes,Contas_de_marcas_e_empresas,Contas_de_notícias_e_política,Contas_pessoais_de_amigos_e_familiares,Impressão_3d_e_prototipagem,"Jogos,_séries,_filmes",Pesquisas,sobre_trabalho,Buscar_ajuda_profissional,Desativar_notificações,Desinstalar_aplicativos,Limitar_o_tempo_de_uso,Usar_aplicativos_de_controle_de_tela,Desafios_Redução_Tedio,Desafios_Redução_Ansiedade,Desafios_Redução_Necessidade,Desafios_Redução_Adaptar_Restrição_Uso,Desafios_Redução_Falta_de_Informações,Desafios_Redução_Nenhum,TempoRedesSociais_encoded,FrequenciaUsoRedes_encoded,DistraçãoRedes_encoded,SentimentoComparação_encoded,BuscaValidação_encoded,DescriçãoMudançaInteresse_encoded,MotivaçãoRedução_encoded,SucessoRedução_encoded,NivelDeDistracao,AnsiedadeRedes,PreocupaçãoNegativa,FrequenciaDepressão
15,21,1,1,1,3,4,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,2.3212481594960086,2.1375018517405957,2.2961085348760646,2.288628289721589,2.207244820231755,2.235694675182942,2.2977340879360875,2.236544083091104,1.765369511625355,4,4,2
36,19,0,1,0,1,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2.460961146949919,2.0895615272808077,1.9405272494979278,2.195599967974693,2.1640652698365392,2.2134047545240967,2.350958285490895,2.3398854345388367,1.9801757498326424,0,2,2
51,18,0,1,1,1,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2.205245213243705,2.0895615272808077,2.141811683700694,2.0611292572896955,2.052101108090551,2.332826002755575,2.0983770814470004,2.143644461046582,2.0472705612335647,1,2,2
5,23,0,1,1,1,2,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2.3922387263867613,2.379606906251663,2.473985058961076,2.373339386017066,2.4685630405926844,2.4143016366649084,2.2566679308614876,2.2769931295630537,1.8246616863203586,0,3,1
19,25,0,1,0,5,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0962996588983698,2.064545353383709,2.0962996588983698,1.87218636671023,2.1147288152802317,2.025662602439969,2.025662602439969,2.025662602439969,2.36543321963279,0,5,4
50,23,0,1,1,2,3,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.104687064119319,2.1375018517405957,2.2492013175498085,2.0237587226888523,2.33378424156124,2.190171694770497,2.1529360222190137,2.1529360222190137,2.7497337725166027,3,5,2
10,25,0,1,0,2,3,3,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2.3922387263867613,2.379606906251663,2.303887271700053,2.2169422487443198,2.1734212993931936,2.2414619783894536,2.2566679308614876,2.2769931295630537,2.101295757233351,2,2,1
8,21,0,1,1,4,5,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2.164550541242786,2.0673492897177357,2.070466179157944,2.186580511498319,2.1499607340779496,2.2589936384308773,2.034968088291367,2.05651152770276,2.3568220597193146,1,4,2
35,32,1,1,1,3,4,3,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,2.4256369503744892,2.379606906251663,2.473985058961076,2.373339386017066,2.2769931295630537,2.4143016366649084,2.2566679308614876,2.2769931295630537,1.4913283529870254,2,4,2
6,21,1,1,1,2,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.436522785678032,2.379606906251663,2.36766343948588,2.373339386017066,2.1734212993931936,2.2414619783894536,2.3051422844840417,2.3051422844840417,2.1225544798286267,3,4,2
